fragment_id,video_id,frame_start,frame_end,s3_uri
1,images,0,49,s3://lakehouse/visdrone/images/fragment_1.jpg
2,images,50,99,s3://lakehouse/visdrone/images/fragment_2.jpg
3,images,100,149,s3://lakehouse/visdrone/images/fragment_3.jpg
4,images,150,199,s3://lakehouse/visdrone/images/fragment_4.jpg
5,images,200,249,s3://lakehouse/visdrone/images/fragment_5.jpg
6,images,250,299,s3://lakehouse/visdrone/images/fragment_6.jpg
7,images,300,349,s3://lakehouse/visdrone/images/fragment_7.jpg
8,images,350,399,s3://lakehouse/visdrone/images/fragment_8.jpg
9,images,400,449,s3://lakehouse/visdrone/images/fragment_9.jpg
10,images,450,499,s3://lakehouse/visdrone/images/fragment_10.jpg
11,images,500,549,s3://lakehouse/visdrone/images/fragment_11.jpg
12,images,550,599,s3://lakehouse/visdrone/images/fragment_12.jpg
13,images,600,649,s3://lakehouse/visdrone/images/fragment_13.jpg
14,images,650,699,s3://lakehouse/visdrone/images/fragment_14.jpg
15,images,700,749,s3://lakehouse/visdrone/images/fragment_15.jpg
16,images,750,799,s3://lakehouse/visdrone/images/fragment_16.jpg
17,images,800,849,s3://lakehouse/visdrone/images/fragment_17.jpg
18,images,850,899,s3://lakehouse/visdrone/images/fragment_18.jpg
19,images,900,949,s3://lakehouse/visdrone/images/fragment_19.jpg
20,images,950,999,s3://lakehouse/visdrone/images/fragment_20.jpg
21,images,1000,1049,s3://lakehouse/visdrone/images/fragment_21.jpg
22,images,1050,1099,s3://lakehouse/visdrone/images/fragment_22.jpg
23,images,1100,1149,s3://lakehouse/visdrone/images/fragment_23.jpg
24,images,1150,1199,s3://lakehouse/visdrone/images/fragment_24.jpg
25,images,1200,1249,s3://lakehouse/visdrone/images/fragment_25.jpg
26,images,1250,1299,s3://lakehouse/visdrone/images/fragment_26.jpg
27,images,1300,1349,s3://lakehouse/visdrone/images/fragment_27.jpg
28,images,1350,1399,s3://lakehouse/visdrone/images/fragment_28.jpg
29,images,1400,1449,s3://lakehouse/visdrone/images/fragment_29.jpg
30,images,1450,1499,s3://lakehouse/visdrone/images/fragment_30.jpg
31,images,1500,1549,s3://lakehouse/visdrone/images/fragment_31.jpg
32,images,1550,1599,s3://lakehouse/visdrone/images/fragment_32.jpg
33,images,1600,1649,s3://lakehouse/visdrone/images/fragment_33.jpg
34,images,1650,1699,s3://lakehouse/visdrone/images/fragment_34.jpg
35,images,1700,1749,s3://lakehouse/visdrone/images/fragment_35.jpg
36,images,1750,1799,s3://lakehouse/visdrone/images/fragment_36.jpg
37,images,1800,1849,s3://lakehouse/visdrone/images/fragment_37.jpg
38,images,1850,1899,s3://lakehouse/visdrone/images/fragment_38.jpg
39,images,1900,1949,s3://lakehouse/visdrone/images/fragment_39.jpg
40,images,1950,1999,s3://lakehouse/visdrone/images/fragment_40.jpg
41,images,2000,2049,s3://lakehouse/visdrone/images/fragment_41.jpg
42,images,2050,2099,s3://lakehouse/visdrone/images/fragment_42.jpg
43,images,2100,2149,s3://lakehouse/visdrone/images/fragment_43.jpg
44,images,2150,2199,s3://lakehouse/visdrone/images/fragment_44.jpg
45,images,2200,2249,s3://lakehouse/visdrone/images/fragment_45.jpg
46,images,2250,2299,s3://lakehouse/visdrone/images/fragment_46.jpg
47,images,2300,2349,s3://lakehouse/visdrone/images/fragment_47.jpg
48,images,2350,2399,s3://lakehouse/visdrone/images/fragment_48.jpg
49,images,2400,2449,s3://lakehouse/visdrone/images/fragment_49.jpg
50,images,2450,2499,s3://lakehouse/visdrone/images/fragment_50.jpg
51,images,2500,2549,s3://lakehouse/visdrone/images/fragment_51.jpg
52,images,2550,2599,s3://lakehouse/visdrone/images/fragment_52.jpg
53,images,2600,2649,s3://lakehouse/visdrone/images/fragment_53.jpg
54,images,2650,2699,s3://lakehouse/visdrone/images/fragment_54.jpg
55,images,2700,2749,s3://lakehouse/visdrone/images/fragment_55.jpg
56,images,2750,2799,s3://lakehouse/visdrone/images/fragment_56.jpg
57,images,2800,2849,s3://lakehouse/visdrone/images/fragment_57.jpg
58,images,2850,2899,s3://lakehouse/visdrone/images/fragment_58.jpg
59,images,2900,2949,s3://lakehouse/visdrone/images/fragment_59.jpg
60,images,2950,2999,s3://lakehouse/visdrone/images/fragment_60.jpg
61,images,3000,3049,s3://lakehouse/visdrone/images/fragment_61.jpg
62,images,3050,3099,s3://lakehouse/visdrone/images/fragment_62.jpg
63,images,3100,3149,s3://lakehouse/visdrone/images/fragment_63.jpg
64,images,3150,3199,s3://lakehouse/visdrone/images/fragment_64.jpg
65,images,3200,3249,s3://lakehouse/visdrone/images/fragment_65.jpg
66,images,3250,3299,s3://lakehouse/visdrone/images/fragment_66.jpg
67,images,3300,3349,s3://lakehouse/visdrone/images/fragment_67.jpg
68,images,3350,3399,s3://lakehouse/visdrone/images/fragment_68.jpg
69,images,3400,3449,s3://lakehouse/visdrone/images/fragment_69.jpg
70,images,3450,3499,s3://lakehouse/visdrone/images/fragment_70.jpg
71,images,3500,3549,s3://lakehouse/visdrone/images/fragment_71.jpg
72,images,3550,3599,s3://lakehouse/visdrone/images/fragment_72.jpg
73,images,3600,3649,s3://lakehouse/visdrone/images/fragment_73.jpg
74,images,3650,3699,s3://lakehouse/visdrone/images/fragment_74.jpg
75,images,3700,3749,s3://lakehouse/visdrone/images/fragment_75.jpg
76,images,3750,3799,s3://lakehouse/visdrone/images/fragment_76.jpg
77,images,3800,3849,s3://lakehouse/visdrone/images/fragment_77.jpg
78,images,3850,3899,s3://lakehouse/visdrone/images/fragment_78.jpg
79,images,3900,3949,s3://lakehouse/visdrone/images/fragment_79.jpg
80,images,3950,3999,s3://lakehouse/visdrone/images/fragment_80.jpg
81,images,4000,4049,s3://lakehouse/visdrone/images/fragment_81.jpg
82,images,4050,4099,s3://lakehouse/visdrone/images/fragment_82.jpg
83,images,4100,4149,s3://lakehouse/visdrone/images/fragment_83.jpg
84,images,4150,4199,s3://lakehouse/visdrone/images/fragment_84.jpg
85,images,4200,4249,s3://lakehouse/visdrone/images/fragment_85.jpg
86,images,4250,4299,s3://lakehouse/visdrone/images/fragment_86.jpg
87,images,4300,4349,s3://lakehouse/visdrone/images/fragment_87.jpg
88,images,4350,4399,s3://lakehouse/visdrone/images/fragment_88.jpg
89,images,4400,4449,s3://lakehouse/visdrone/images/fragment_89.jpg
90,images,4450,4499,s3://lakehouse/visdrone/images/fragment_90.jpg
91,images,4500,4549,s3://lakehouse/visdrone/images/fragment_91.jpg
92,images,4550,4599,s3://lakehouse/visdrone/images/fragment_92.jpg
93,images,4600,4649,s3://lakehouse/visdrone/images/fragment_93.jpg
94,images,4650,4699,s3://lakehouse/visdrone/images/fragment_94.jpg
95,images,4700,4749,s3://lakehouse/visdrone/images/fragment_95.jpg
96,images,4750,4799,s3://lakehouse/visdrone/images/fragment_96.jpg
97,images,4800,4849,s3://lakehouse/visdrone/images/fragment_97.jpg
98,images,4850,4899,s3://lakehouse/visdrone/images/fragment_98.jpg
99,images,4900,4949,s3://lakehouse/visdrone/images/fragment_99.jpg
100,images,4950,4999,s3://lakehouse/visdrone/images/fragment_100.jpg
101,images,5000,5049,s3://lakehouse/visdrone/images/fragment_101.jpg
102,images,5050,5099,s3://lakehouse/visdrone/images/fragment_102.jpg
103,images,5100,5149,s3://lakehouse/visdrone/images/fragment_103.jpg
104,images,5150,5199,s3://lakehouse/visdrone/images/fragment_104.jpg
105,images,5200,5249,s3://lakehouse/visdrone/images/fragment_105.jpg
106,images,5250,5299,s3://lakehouse/visdrone/images/fragment_106.jpg
107,images,5300,5349,s3://lakehouse/visdrone/images/fragment_107.jpg
108,images,5350,5399,s3://lakehouse/visdrone/images/fragment_108.jpg
109,images,5400,5449,s3://lakehouse/visdrone/images/fragment_109.jpg
110,images,5450,5499,s3://lakehouse/visdrone/images/fragment_110.jpg
111,images,5500,5549,s3://lakehouse/visdrone/images/fragment_111.jpg
112,images,5550,5599,s3://lakehouse/visdrone/images/fragment_112.jpg
113,images,5600,5649,s3://lakehouse/visdrone/images/fragment_113.jpg
114,images,5650,5699,s3://lakehouse/visdrone/images/fragment_114.jpg
115,images,5700,5749,s3://lakehouse/visdrone/images/fragment_115.jpg
116,images,5750,5799,s3://lakehouse/visdrone/images/fragment_116.jpg
117,images,5800,5849,s3://lakehouse/visdrone/images/fragment_117.jpg
118,images,5850,5899,s3://lakehouse/visdrone/images/fragment_118.jpg
119,images,5900,5949,s3://lakehouse/visdrone/images/fragment_119.jpg
120,images,5950,5999,s3://lakehouse/visdrone/images/fragment_120.jpg
121,images,6000,6049,s3://lakehouse/visdrone/images/fragment_121.jpg
122,images,6050,6099,s3://lakehouse/visdrone/images/fragment_122.jpg
123,images,6100,6149,s3://lakehouse/visdrone/images/fragment_123.jpg
124,images,6150,6199,s3://lakehouse/visdrone/images/fragment_124.jpg
125,images,6200,6249,s3://lakehouse/visdrone/images/fragment_125.jpg
126,images,6250,6299,s3://lakehouse/visdrone/images/fragment_126.jpg
127,images,6300,6349,s3://lakehouse/visdrone/images/fragment_127.jpg
128,images,6350,6399,s3://lakehouse/visdrone/images/fragment_128.jpg
129,images,6400,6449,s3://lakehouse/visdrone/images/fragment_129.jpg
130,images,6450,6499,s3://lakehouse/visdrone/images/fragment_130.jpg
131,images,6500,6549,s3://lakehouse/visdrone/images/fragment_131.jpg
132,images,6550,6599,s3://lakehouse/visdrone/images/fragment_132.jpg
133,images,6600,6649,s3://lakehouse/visdrone/images/fragment_133.jpg
134,images,6650,6699,s3://lakehouse/visdrone/images/fragment_134.jpg
135,images,6700,6749,s3://lakehouse/visdrone/images/fragment_135.jpg
136,images,6750,6799,s3://lakehouse/visdrone/images/fragment_136.jpg
137,images,6800,6849,s3://lakehouse/visdrone/images/fragment_137.jpg
138,images,6850,6899,s3://lakehouse/visdrone/images/fragment_138.jpg
139,images,6900,6949,s3://lakehouse/visdrone/images/fragment_139.jpg
140,images,6950,6999,s3://lakehouse/visdrone/images/fragment_140.jpg
141,images,7000,7018,s3://lakehouse/visdrone/images/fragment_141.jpg
1,images,0,49,s3://lakehouse/visdrone/images/fragment_1.jpg
2,images,50,99,s3://lakehouse/visdrone/images/fragment_2.jpg
3,images,100,149,s3://lakehouse/visdrone/images/fragment_3.jpg
4,images,150,199,s3://lakehouse/visdrone/images/fragment_4.jpg
5,images,200,249,s3://lakehouse/visdrone/images/fragment_5.jpg
6,images,250,299,s3://lakehouse/visdrone/images/fragment_6.jpg
7,images,300,349,s3://lakehouse/visdrone/images/fragment_7.jpg
8,images,350,399,s3://lakehouse/visdrone/images/fragment_8.jpg
9,images,400,449,s3://lakehouse/visdrone/images/fragment_9.jpg
10,images,450,499,s3://lakehouse/visdrone/images/fragment_10.jpg
11,images,500,549,s3://lakehouse/visdrone/images/fragment_11.jpg
12,images,550,599,s3://lakehouse/visdrone/images/fragment_12.jpg
13,images,600,649,s3://lakehouse/visdrone/images/fragment_13.jpg
14,images,650,699,s3://lakehouse/visdrone/images/fragment_14.jpg
15,images,700,749,s3://lakehouse/visdrone/images/fragment_15.jpg
16,images,750,799,s3://lakehouse/visdrone/images/fragment_16.jpg
17,images,800,849,s3://lakehouse/visdrone/images/fragment_17.jpg
